Android activity manager . ||| অ্যান্ড্রয়েড অ্যাক্টিভিটি ম্যানেজার।
More information : < https : //developer.android.com/studio/command-line/adb # am > . ||| আরও তথ্য পাবেন : < https : //developer.android.com/studio/command-line/adb # am > .
Start a specific activity ||| একটি নির্দিষ্ট কার্যকলাপ শুরু করুন
Start an activity and pass data to it ||| একটি কার্যকলাপ শুরু করুন এবং এতে ডেটা পাঠান
Start an activity matching a specific action and [ c ] ategory ||| একটি নির্দিষ্ট কর্ম এবং বিভাগের সাথে মেলে এমন একটি কার্যকলাপ শুরু করুন
Convert an intent to a URI ||| একটি উদ্দেশ্যকে একটি URI-তে রূপান্তর করুন
More information : < https : //cs.android.com/android/platform/superproject/+/master : frameworks/native/cmds/bugreport > . ||| আরও তথ্য পাবেন : < https : //cs.android.com/android/platform/superproject/+/master : frameworks/native/cmds/bugreport > .
Display a complete bug report of an Android device ||| একটি অ্যান্ড্রয়েড ডিভাইসের একটি সম্পূর্ণ বাগ রিপোর্ট দেখান
More information : < https : //cs.android.com/android/platform/superproject/+/master : frameworks/native/cmds/bugreportz > . ||| আরও তথ্য পাবেন : < https : //cs.android.com/android/platform/superproject/+/master : frameworks/native/cmds/bugreportz > .
Generate a complete zipped bug report of an Android device ||| একটি অ্যান্ড্রয়েড ডিভাইসের একটি সম্পূর্ণ জিপ করা বাগ রিপোর্ট তৈরি করুন
Show the progress of a running ` bugreportz ` operation ||| চলমান অপারেশনের অগ্রগতি দেখুন
Show the version of ` bugreportz ` ||| সংস্করণ দেখুন
Display help ||| সাহায্য প্রদর্শন
Android service manager . ||| অ্যান্ড্রয়েড সার্ভিস ম্যানেজার।
More information : < https : //cs.android.com/android/platform/superproject/+/master : frameworks/native/cmds/cmd/ > . ||| আরও তথ্য পাবেন : < https : //cs.android.com/android/platform/superproject/+/master : frameworks/native/cmds/cmd/ > .
list all running services ||| প্রতিটি চলমান পরিষেবা তালিকা করুন
Call a specific service ||| একটি নির্দিষ্ট পরিষেবা কল করুন
Call a service with specific arguments ||| আর্গুমেন্টসহ সহ একটি পরিষেবা কল করুন
Android Java virtual machine . ||| অ্যান্ড্রয়েড জাভা ভার্চুয়াল মেশিন।
More information : < https : //source.android.com/devices/tech/dalvik > . ||| আরও তথ্য পাবেন : < https : //source.android.com/devices/tech/dalvik > .
Start a specific Java program ||| একটি নির্দিষ্ট জাভা প্রোগ্রাম শুরু করুন
More information : < https : //developer.android.com/studio/command-line/dumpsys > . ||| আরও তথ্য পাবেন : < https : //developer.android.com/studio/command-line/dumpsys > .
Get diagnostic output for all system services ||| সমস্ত সিস্টেম পরিষেবার জন্য ডায়াগনস্টিক আউটপুট পান
Get diagnostic output for a specific system service ||| একটি নির্দিষ্ট সিস্টেম পরিষেবার জন্য ডায়গনিস্টিক আউটপুট পান
List all services ` dumpsys ` can give information about ||| ডাম্পসিস ' যে সমস্ত পরিষেবা সম্পর্কে তথ্য দিতে পারে তাদের তালিকা করুন
List service-specific arguments for a service ||| একটি পরিষেবার জন্য পরিষেবা-নির্দিষ্ট আর্গুমেন্ট তালিকা করুন
Specify a timeout period in seconds ( defaults to 10s ) ||| সেকেন্ডে একটি সময়সীমা নির্দিষ্ট করুন ( ডিফল্ট 10 সেকেন্ড )
Show information about Android system properties . ||| অ্যান্ড্রয়েড সিস্টেম বৈশিষ্ট্য সম্পর্কে তথ্য দেখান।
More information : < https : //manned.org/getprop > . ||| আরও তথ্য পাবেন : < https : //manned.org/getprop > .
Display information about Android system properties ||| অ্যান্ড্রয়েড সিস্টেম বৈশিষ্ট্য সম্পর্কে তথ্য প্রদর্শন করুন
More information : < https : //developer.android.com/reference/android/view/KeyEvent.html # constants_1 > . ||| আরও তথ্য পাবেন : < https : //developer.android.com/reference/android/view/KeyEvent.html # constants_1 > .
Send an event code for a single character to an Android device ||| একটি Android ডিভাইসে একটি একক অক্ষরের জন্য একটি ইভেন্ট কোড পাঠান
Send a text to an Android device ( ` % s ` represents spaces ) ||| একটি অ্যান্ড্রয়েড ডিভাইসে একটি পাঠ্য পাঠান ( ` % s ` স্পেস প্রতিনিধিত্ব করে )
Send a single tap to an Android device ||| একটি Android ডিভাইসে একটি একক ট্যাপ পাঠান
Dump a log of system messages , including stack traces when an error occurred , and information messages logged by applications . ||| সিস্টেম বার্তার একটি লগ ডাম্প করুন , যখন একটি ত্রুটি ঘটেছে স্ট্যাক ট্রেস সহ , এবং অ্যাপ্লিকেশন দ্বারা লগ করা তথ্য বার্তা।
More information : < https : //developer.android.com/studio/command-line/logcat > . ||| আরও তথ্য পাবেন : < https : //developer.android.com/studio/command-line/logcat > .
Display system logs ||| সিস্টেম লগগুলি প্রদর্শন করুন
Write system logs to a file ||| একটি ফাইলে সিস্টেম লগ লিখুন
Display lines that match a regular expression ||| রেগুলার এক্সপ্রেশনের সাথে মেলে এমন লাইনগুলি প্রদর্শন করুন
Package management utility for Termux . ||| Termux এর জন্য একটি প্যাকেজ ব্যবস্থাপনা ইউটিলিটি।
More information : < https : //wiki.termux.com/wiki/Package_Management > . ||| আরও তথ্য পাবেন : < https : //wiki.termux.com/wiki/Package_Management > .
Upgrade all installed packages ||| সমস্ত ইনস্টল করা প্যাকেজ আপগ্রেড করুন
Install a package ||| একটি নির্দিষ্ট প্যাকেজ ইনস্টল করুন
Uninstall a package ||| একটি নির্দিষ্ট প্যাকেজ আনইনস্টল করুন
Reinstall a package ||| একটি নির্দিষ্ট প্যাকেজ পুনরায় ইনস্টল করুন
Search for a package ||| একটি নির্দিষ্ট প্যাকেজ অনুসন্ধান করুন
Display information about apps on an Android device . ||| একটি Android ডিভাইসে অ্যাপ্লিকেশন সম্পর্কে তথ্য দেখান।
More information : < https : //developer.android.com/studio/command-line/adb # pm > . ||| আরও তথ্য পাবেন : < https : //developer.android.com/studio/command-line/adb # pm > .
List all installed apps ||| সমস্ত ইনস্টল করা অ্যাপের একটি তালিকা প্রিন্ট করুন
List all installed system apps ||| সমস্ত ইনস্টল করা সিস্টেম অ্যাপের একটি তালিকা প্রিন্ট করুন
List all installed 3rd-Party apps ||| সমস্ত ইনস্টল করা থার্ড-পার্টি অ্যাপের একটি তালিকা প্রিন্ট করুন
List apps matching specific keywords ||| নির্দিষ্ট কীওয়ার্ডের সাথে মিলে যাওয়া অ্যাপগুলির একটি তালিকা প্রিন্ট করুন
Display a path of the APK of a specific app ||| একটি নির্দিষ্ট অ্যাপের APK এর পথ প্রিন্ট করুন
More information : < https : //developer.android.com/studio/command-line/adb # screencap > . ||| আরও তথ্য পাবেন : < https : //developer.android.com/studio/command-line/adb # screencap > .
Take a screenshot ||| একটি স্ক্রিনশট নিন
Get information about the Android OS . ||| Android OS সম্পর্কে তথ্য পান।
More information : < https : //adbinstaller.com/commands/adb-shell-settings-5b670d5ee7958178a2955536 > . ||| আরও তথ্য পাবেন : < https : //adbinstaller.com/commands/adb-shell-settings-5b670d5ee7958178a2955536 > .
Display a list of settings in the ` global ` namespace ||| ` global ` নামস্থানে সেটিংসের একটি তালিকা প্রদর্শন করুন
