d001.s001.t001	This		X	n/a	এই
d001.s001.t002	document	document	N	bn:00028015n	নথিটি
d001.s001.t003	is	be	V	n/a	ইউরোপীয়
d001.s001.t004	a		X	n/a	পাবলিক
d001.s001.t005	summary	summary	N	bn:00075142n	n/a
d001.s001.t006	of		X	n/a	n/a
d001.s001.t007	the		X	n/a	অ্যাসেসমেন্ট
d001.s001.t008	European	european	J	bn:00102440a	রিপোর্ট
d001.s001.t009	Public	public	J	bn:00109211a	একটি
d001.s001.t010	Assessment	assessment	N	bn:00006502n	সারাংশ।
d001.s001.t011	Report	report	N	bn:00067181n	সারাংশ।
d001.s001.t012	(		X	n/a	সারাংশ।
d001.s001.t013	EPAR	epar	N	n/a	সারাংশ।
d001.s001.t014	)		X	n/a	সারাংশ।
d001.s001.t015	.		X	n/a	সারাংশ।
d001.s002.t001	It		X	n/a	এটি
d001.s002.t002	explains	explain	V	bn:00087869v	ব্যাখ্যা
d001.s002.t003	how		X	n/a	যে
d001.s002.t004	the		X	n/a	কীভাবে
d001.s002.t005	Committee	committee	N	bn:00021015n	কমিটি
d001.s002.t006	for		X	n/a	ফর
d001.s002.t007	Medicinal	medicinal	J	bn:00106556a	মেডিসিনাল
d001.s002.t008	Products	product	N	bn:00064584n	প্রোডাক্টস
d001.s002.t009	for		X	n/a	ফর
d001.s002.t010	Human	human	J	bn:00104385a	হিউম্যান
d001.s002.t011	Use	use	N	bn:00030627n	ইউজ
d001.s002.t012	(		X	n/a	(CHMP)
d001.s002.t013	CHMP	chmp	N	bn:00302314n	মূল্যায়ন
d001.s002.t014	)		X	n/a	করেছে,
d001.s002.t015	assessed	assess	V	bn:00082720v	ব্যবহার
d001.s002.t016	the		X	n/a	n/a
d001.s002.t017	studies	study	N	bn:00074790n	n/a
d001.s002.t018	performed	perform	V	bn:00087107v	করতে
d001.s002.t019	,		X	n/a	হবে
d001.s002.t020	to		X	n/a	সে
d001.s002.t021	reach	reach	V	bn:00082226v	সম্পর্কে
d001.s002.t022	their		X	n/a	তাদের
d001.s002.t023	recommendations	recommendation	N	bn:00066562n	সুপারিশে
d001.s002.t024	on		X	n/a	পৌঁছাতে।
d001.s002.t025	how		X	n/a	পৌঁছাতে।
d001.s002.t026	to		X	n/a	n/a
d001.s002.t027	use	use	V	bn:00082705v	পৌঁছাতে।
d001.s002.t028	the		X	n/a	পৌঁছাতে।
d001.s002.t029	medicine	medicine	N	bn:00054128n	পৌঁছাতে।
d001.s002.t030	.		X	n/a	পৌঁছাতে।
d001.s003.t001	If		X	n/a	আপনার
d001.s003.t002	you		X	n/a	যদি
d001.s003.t003	need	need	V	bn:00091028v	আপনার
d001.s003.t004	more	more	J	bn:00106935a	চিকিৎসার
d001.s003.t005	information	information	N	bn:00025314n	বা
d001.s003.t006	about		X	n/a	আপনার
d001.s003.t007	your		X	n/a	চিকিত্সা
d001.s003.t008	medical	medical	J	bn:00106555a	সম্পর্কে
d001.s003.t009	condition	condition	N	bn:00021648n	n/a
d001.s003.t010	or		X	n/a	আরও
d001.s003.t011	your		X	n/a	তথ্যের
d001.s003.t012	treatment	treatment	N	bn:00047235n	প্রয়োজন
d001.s003.t013	,		X	n/a	হয়,
d001.s003.t014	read	read	V	bn:00092424v	n/a
d001.s003.t015	the		X	n/a	n/a
d001.s003.t016	Package	package	N	bn:00013882n	তাহলে
d001.s003.t017	Leaflet	leaflet	N	bn:00012133n	প্যাকেজ
d001.s003.t018	(		X	n/a	লিফলেটটি
d001.s003.t019	also	also	R	bn:00114246r	পড়ুন
d001.s003.t020	part	part	N	bn:00021395n	(এছাড়াও
d001.s003.t021	of		X	n/a	EPAR-এর
d001.s003.t022	the		X	n/a	অংশ)
d001.s003.t023	EPAR	epar	N	n/a	আপনার
d001.s003.t024	)		X	n/a	n/a
d001.s003.t025	or		X	n/a	ডাক্তার
d001.s003.t026	contact	contact	V	bn:00085696v	বা
d001.s003.t027	your		X	n/a	ফার্মাসিস্টের
d001.s003.t028	doctor	doctor	N	bn:00027976n	n/a
d001.s003.t029	or		X	n/a	n/a
d001.s003.t030	pharmacist	pharmacist	N	bn:00004992n	যোগাযোগ
d001.s003.t031	.		X	n/a	যোগাযোগ
d001.s004.t001	If		X	n/a	আপনি
d001.s004.t002	you		X	n/a	যদি
d001.s004.t003	want	want	V	bn:00086682v	সুপারিশের
d001.s004.t004	more	more	J	bn:00106935a	ভিত্তিতে
d001.s004.t005	information	information	N	bn:00025314n	আরও
d001.s004.t006	on		X	n/a	তথ্য
d001.s004.t007	the		X	n/a	চান,
d001.s004.t008	basis	basis	N	bn:00008786n	তাহলে
d001.s004.t009	of		X	n/a	বৈজ্ঞানিক
d001.s004.t010	the		X	n/a	আলোচনা
d001.s004.t011	CHMP	chmp	N	bn:00302314n	পড়ুন
d001.s004.t012	recommendations	recommendation	N	bn:00066562n	(এছাড়াও
d001.s004.t013	,		X	n/a	EPAR-এর
d001.s004.t014	read	read	V	bn:00092424v	n/a
d001.s004.t015	the		X	n/a	অংশ)।
d001.s004.t016	Scientific	scientific	J	bn:00110175a	অংশ)।
d001.s004.t017	Discussion	discussion	N	bn:00027523n	অংশ)।
d001.s004.t018	(		X	n/a	অংশ)।
d001.s004.t019	also	also	R	bn:00114246r	অংশ)।
d001.s004.t020	part	part	N	bn:00021395n	অংশ)।
d001.s004.t021	of		X	n/a	অংশ)।
d001.s004.t022	the		X	n/a	অংশ)।
d001.s004.t023	EPAR	epar	N	n/a	অংশ)।
d001.s004.t024	)		X	n/a	অংশ)।
d001.s004.t025	.		X	n/a	অংশ)।
d001.s005.t001	What		X	n/a	আলিমতা
d001.s005.t002	is	be	V	n/a	কি?
d001.s005.t003	Alimta	alimta	N	bn:00602447n	কি?
d001.s005.t004	?		X	n/a	কি?
d001.s006.t001	Alimta	alimta	N	bn:00602447n	আলিমতা
d001.s006.t002	is	be	V	n/a	হল
d001.s006.t003	a		X	n/a	একটি
d001.s006.t004	powder	powder	N	bn:00063926n	পাউডার
d001.s006.t005	that		X	n/a	যা
d001.s006.t006	is	be	V	n/a	n/a
d001.s006.t007	made up	make up	V	bn:00083187v	n/a
d001.s006.t008	into		X	n/a	আধানের
d001.s006.t009	a		X	n/a	জন্য
d001.s006.t010	solution	solution	N	bn:00072760n	দ্রবণে
d001.s006.t011	for		X	n/a	তৈরি
d001.s006.t012	infusion	infusion	N	bn:00046734n	করা
d001.s006.t013	(		X	n/a	হয়
d001.s006.t014	drip	drip	V	bn:00087306v	(
d001.s006.t015	into		X	n/a	শিরায়
d001.s006.t016	a		X	n/a	ফোঁটা)।
d001.s006.t017	vein	vein	N	bn:00079681n	n/a
d001.s006.t018	)		X	n/a	ফোঁটা)।
d001.s006.t019	.		X	n/a	ফোঁটা)।
d001.s007.t001	It		X	n/a	ফোঁটা)।
d001.s007.t002	contains	contain	V	bn:00085499v	এটি
d001.s007.t003	the		X	n/a	পেমেট্রেক্সড
d001.s007.t004	active	active	J	bn:00096387a	সক্রিয়
d001.s007.t005	substance	substance	N	bn:00074986n	পদার্থ
d001.s007.t006	pemetrexed	pemetrexed	N	bn:00602447n	রয়েছে।
d001.s007.t007	.		X	n/a	রয়েছে।
d001.s008.t001	What		X	n/a	রয়েছে।
d001.s008.t002	is	be	V	n/a	কি
d001.s008.t003	Alimta	alimta	N	bn:00602447n	জন্য
d001.s008.t004	used	use	V	bn:00082705v	ব্যবহার
d001.s008.t005	for		X	n/a	হয়?
d001.s008.t006	?		X	n/a	হয়?
d001.s009.t001	Alimta	alimta	N	bn:00602447n	হয়?
d001.s009.t002	is	be	V	n/a	আলিমতা
d001.s009.t003	used	use	V	bn:00082705v	দুই
d001.s009.t004	to		X	n/a	ধরনের
d001.s009.t005	treat	treat	V	bn:00084532v	ক্যান্সারের
d001.s009.t006	two		X	n/a	চিকিৎসায়
d001.s009.t007	types	type	N	bn:00078798n	ব্যবহৃত
d001.s009.t008	of		X	n/a	n/a
d001.s009.t009	cancer	cancer	N	bn:00015180n	n/a
d001.s009.t010	:		X	n/a	প্লুরাল
d001.s009.t011	pleural	pleural	J	bn:00108692a	n/a
d001.s009.t012	mesothelioma	mesothelioma	N	bn:00054512n	মেসোথেলিওমা
d001.s009.t013	(		X	n/a	(ফুসফুসের
d001.s009.t014	cancer	cancer	N	bn:00015180n	n/a
d001.s009.t015	of		X	n/a	আস্তরণের
d001.s009.t016	the		X	n/a	ক্যান্সার
d001.s009.t017	lining	lining	N	bn:00051366n	n/a
d001.s009.t018	of		X	n/a	যা
d001.s009.t019	the		X	n/a	সাধারণত
d001.s009.t020	lungs	lung	N	bn:00052341n	n/a
d001.s009.t021	that		X	n/a	অ্যাসবেস্টসের
d001.s009.t022	is	be	V	n/a	সংস্পর্শে
d001.s009.t023	usually	usually	R	bn:00114778r	আসে)।
d001.s009.t024	caused	cause	V	bn:00084069v	আসে)।
d001.s009.t025	by		X	n/a	আসে)।
d001.s009.t026	exposure	exposure	N	bn:00032379n	n/a
d001.s009.t027	to		X	n/a	আসে)।
d001.s009.t028	asbestos	asbestos	N	bn:00006236n	n/a
d001.s009.t029	)		X	n/a	আসে)।
d001.s009.t030	.		X	n/a	আসে)।
d001.s010.t001	Alimta	alimta	N	bn:00602447n	আসে)।
d001.s010.t002	is	be	V	n/a	অ্যালিমটা
d001.s010.t003	used	use	V	bn:00082705v	সিসপ্ল্যাটিন
d001.s010.t004	together	together	R	n/a	(অন্য
d001.s010.t005	with		X	n/a	একটি
d001.s010.t006	cisplatin	cisplatin	N	bn:00577781n	মেডিসিন)
d001.s010.t007	(		X	n/a	এর
d001.s010.t008	another		X	n/a	সাথে
d001.s010.t009	anticancer	anticancer	J	bn:00097220a	ব্যবহার
d001.s010.t010	medicine	medicine	N	bn:00054128n	করা
d001.s010.t011	)		X	n/a	হয়
d001.s010.t012	when		X	n/a	n/a
d001.s010.t013	the		X	n/a	ক্যান্সার
d001.s010.t014	cancer	cancer	N	bn:00015180n	n/a
d001.s010.t015	is	be	V	n/a	নির্মূল
d001.s010.t016	unresectable	unresectable	J	n/a	n/a
d001.s010.t017	(		X	n/a	করা
d001.s010.t018	cannot		X	n/a	যায়
d001.s010.t019	be	be	V	n/a	না
d001.s010.t020	removed	remove	V	bn:00092783v	অস্ত্রোপচারের
d001.s010.t021	by		X	n/a	n/a
d001.s010.t022	surgery	surgery	N	bn:00059129n	n/a
d001.s010.t023	alone	alone	J	bn:00096871a	n/a
d001.s010.t024	)		X	n/a	n/a
d001.s010.t025	and		X	n/a	n/a
d001.s010.t026	malignant	malignant	J	bn:00106363a	মাধ্যমে
d001.s010.t027	(		X	n/a	অপসারণ
d001.s010.t028	has	have	V	n/a	করা
d001.s010.t029	spread	spread	V	bn:00092083v	যায়
d001.s010.t030	,		X	n/a	না)
d001.s010.t031	or		X	n/a	n/a
d001.s010.t032	is	be	V	n/a	এবং
d001.s010.t033	likely	likely	J	bn:00105981a	ম্যালিগন্যান্ট
d001.s010.t034	to		X	n/a	(শরীরের
d001.s010.t035	spread	spread	V	bn:00092083v	n/a
d001.s010.t036	easily	easily	R	bn:00115155r	অন্যান্য
d001.s010.t037	,		X	n/a	n/a
d001.s010.t038	to		X	n/a	n/a
d001.s010.t039	other	other	J	bn:00108011a	n/a
d001.s010.t040	parts	part	N	bn:00021395n	অংশে
d001.s010.t041	of		X	n/a	n/a
d001.s010.t042	the		X	n/a	n/a
d001.s010.t043	body	body	N	bn:00011744n	n/a
d001.s010.t044	)		X	n/a	n/a
d001.s010.t045	,		X	n/a	ছড়িয়ে
d001.s010.t046	in		X	n/a	n/a
d001.s010.t047	patients	patient	N	bn:00061017n	পড়েছে,
d001.s010.t048	who		X	n/a	বা
d001.s010.t049	have	have	V	n/a	সহজেই
d001.s010.t050	not	not	R	bn:00116360r	n/a
d001.s010.t051	received	receive	V	bn:00087863v	n/a
d001.s010.t052	chemotherapy	chemotherapy	N	bn:00018141n	ছড়িয়ে
d001.s010.t053	(		X	n/a	পড়ার
d001.s010.t054	medicines	medicine	N	bn:00054128n	n/a
d001.s010.t055	for		X	n/a	সম্ভাবনা
d001.s010.t056	cancer	cancer	N	bn:00015180n	n/a
d001.s010.t057	)		X	n/a	রয়েছে),
d001.s010.t058	before		X	n/a	n/a
